매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
원룸,일반원룸,강원도 춘천시 석사동 313-13,월세200/26,24/24m²,1/3층,서향,"25년이내, 융자금없는, 1층, 세대분리",,,
원룸,일반원룸,강원도 춘천시 석사동 923-1,"전세5,500",40/35m²,2/4층,남서향,"25년이내, 세대분리, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 834-6,월세300/38,33/30m²,3/4층,남서향,"10년이내, 소형평수, 화장실한개, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 951-7,월세300/33,30/28m²,2/3층,남서향,"25년이내, 융자금적은, 세대분리, 화장실한개",,,
단독/다가구,단독,강원도 춘천시 석사동,"전세7,000",40/35m²,2/3층,남서향,"10년이내, 융자금적은, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 928-6,월세300/40,30/30m²,3/4층,남향,"10년이내, 소형평수, 화장실한개, 방한개",강대부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 840-7,월세300/30,16/22m²,2/3층,동향,"25년이내, 융자금없는, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 940-5,월세300/30,40/40m²,4/4층,남동향,"25년이내, 소형평수, 방한개, 화장실한개",만나부동산공인중개사사무소,,
단독/다가구,다가구,강원도 춘천시 석사동 767-8,월세200/30,21/19m²,2/3층,남동향,"25년이내, 소형평수, 방한개, 화장실한개",,,
아파트,근로복지(석사) 108동,,"월세1,000/50",58A/46m²,5/5층,남향,,미래로공인중개사사무소,,
아파트,세경5차 508동,,"월세1,000/50",65/48m²,4/5층,남서향,,테마부동산공인중개사사무소,,
단독/다가구,단독,강원도 춘천시 석사동,"전세2,000",26/26m²,2/3층,동향,"25년이상, 소형평수, 방한개, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 656-11,월세300/28,30/25m²,2/3층,남서향,"25년이상, 소형평수, 방한개, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 902-3,월세300/28,33/33m²,3/4층,남서향,"25년이내, 소형평수, 방한개, 화장실한개",천승주공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 838-2,"전세3,600",23/23m²,3/4층,남서향,"25년이내, 융자금없는, 화장실한개, 소형평수",,,
